INVNO,SEQ,ITEM-#,DESCRIPTION,QUANTITY,UNIT, PRICE , Amount ,DATE,TYPE
853,3,IP14703,"MICRON 66, BLUE - GL",30,Each,231.64,"6,949.20",3/28/2013 0:00,WH
853,4,IP14723,"MICRON 66, RED - GL",10,Each,231.64,"2,316.40",3/28/2013 0:00,WH
